tire_name,file_location,data_file_name,FZ,P,V,SA,IA,SR,corner/brake
Hoosier_18x6.0-10_R20_6,data/round_9/cornering_ascii_si/,B2356run28,L1,P,V_25,S1,I1,const,cornering
Hoosier_18x6.0-10_R20_7,data/round_9/cornering_ascii_si/,B2356run31,L1,P,V_25,S1,I1,const,cornering
Hoosier_18x6.0-10_LCO_6,data/round_6/10_cornering_ascii_si/,B1654run31,L4,P,V3,S2,I2,const,cornering
Hoosier_18x6.0-10_LCO_7,data/round_6/10_cornering_ascii_si/,B1654run33,L4,P,V3,S2,I2,const,cornering
Hoosier_16x6.0-10_LCO_6,data/round_8/10_cornering_ascii_si/,B1965run21,L1,P,V_25,S1,I1,const,cornering
Hoosier_16x6.0-10_LCO_7,data/round_8/10_cornering_ascii_si/,B1965run24,L1,P,V_25,S1,I1,const,cornering
Hoosier_16x7.5-10_LCO_7,data/round_8/10_cornering_ascii_si/,B1965run18,L1,P,V_25,S_cont,I1,const,cornering
Hoosier_16x7.5-10_LCO_8,data/round_8/10_cornering_ascii_si/,B1965run15,L1,P,V_25,S_cont,I1,const,cornering
Hoosier_16x6.0-10_R20_6,data/round_9/cornering_ascii_si/,B2356run11,L1,P,V_25,S1,I1,const,cornering
Hoosier_16x6.0-10_R20_7,data/round_9/cornering_ascii_si/,B2356run14,L1,P,V_25,S1,I1,const,cornering
Hoosier_16x7.5-10_R20_7,data/round_9/cornering_ascii_si/,B2356run4,L1,P,V_25,S1,I1,const,cornering
Hoosier_16x7.5-10_R20_8,data/round_9/cornering_ascii_si/,B2356run8,L1,P,V_25,S1,I1,const,cornering
Hoosier_18x6.0-10_R20_6,data/round_9/drivebrake_ascii_si/,B2356run69,L3,P,V_25,S3,I1,B3,braking
Hoosier_18x6.0-10_R20_7,data/round_9/drivebrake_ascii_si/,B2356run72,L3,P,V_25,S3,I1,B3,braking
Hoosier_18x6.0-10_LCO_6,data/round_6/10_drivebrake_ascii_si/,B1654run45,L6,P,V3,S4,I2,B2,braking
Hoosier_18x6.0-10_LCO_7,data/round_6/10_drivebrake_ascii_si/,B1654run47,L6,P,V3,S4,I2,B2,braking
Hoosier_16x7.5-10_R20_7,data/round_9/cornering_ascii_si/,B2356run4,L1,P,V_25,S1,I1,const,cornering
Hoosier_18x6.0-10_R20_7,data/round_9/cornering_ascii_si/,B2356run31,L1,P,V_25,S1,I1,const,cornering
